im_name,gt_name,ma_name
image/STAR 01_OSC.jpg,GT/STAR 01_OSC_GT.tif,OD/STAR 01_OSC_OD.png
image/STAR 02_ODC.jpg,GT/STAR 02_ODC_GT.tif,OD/STAR 02_ODC_OD.png
image/STAR 03_OSN.jpg,GT/STAR 03_OSN_GT.tif,OD/STAR 03_OSN_OD.png
image/STAR 05_ODC.jpg,GT/STAR 05_ODC_GT.tif,OD/STAR 05_ODC_OD.png
image/STAR 06_ODN.jpg,GT/STAR 06_ODN_GT.tif,OD/STAR 06_ODN_OD.png
image/STAR 08_OSN.jpg,GT/STAR 08_OSN_GT.tif,OD/STAR 08_OSN_OD.png
image/STAR 20_ODC.jpg,GT/STAR 20_ODC_GT.tif,OD/STAR 20_ODC_OD.png
image/STAR 21_OSC.jpg,GT/STAR 21_OSC_GT.tif,OD/STAR 21_OSC_OD.png
image/STAR 24_OSC.jpg,GT/STAR 24_OSC_GT.tif,OD/STAR 24_OSC_OD.png
image/STAR 26_ODC.jpg,GT/STAR 26_ODC_GT.tif,OD/STAR 26_ODC_OD.png
image/STAR 28_ODN.jpg,GT/STAR 28_ODN_GT.tif,OD/STAR 28_ODN_OD.png
image/STAR 30_ODC.jpg,GT/STAR 30_ODC_GT.tif,OD/STAR 30_ODC_OD.png
image/STAR 31_ODN.jpg,GT/STAR 31_ODN_GT.tif,OD/STAR 31_ODN_OD.png
image/STAR 32_ODC.jpg,GT/STAR 32_ODC_GT.tif,OD/STAR 32_ODC_OD.png
image/STAR 34_ODC.jpg,GT/STAR 34_ODC_GT.tif,OD/STAR 34_ODC_OD.png
image/STAR 36_OSC.jpg,GT/STAR 36_OSC_GT.tif,OD/STAR 36_OSC_OD.png
image/STAR 37_ODN.jpg,GT/STAR 37_ODN_GT.tif,OD/STAR 37_ODN_OD.png
image/STAR 38_ODC.jpg,GT/STAR 38_ODC_GT.tif,OD/STAR 38_ODC_OD.png
image/STAR 39_ODC.jpg,GT/STAR 39_ODC_GT.tif,OD/STAR 39_ODC_OD.png
image/STAR 40_OSC.jpg,GT/STAR 40_OSC_GT.tif,OD/STAR 40_OSC_OD.png
image/STAR 43_OSC.jpg,GT/STAR 43_OSC_GT.tif,OD/STAR 43_OSC_OD.png
image/STAR 44_OSN.jpg,GT/STAR 44_OSN_GT.tif,OD/STAR 44_OSN_OD.png
image/STAR 45_ODC.jpg,GT/STAR 45_ODC_GT.tif,OD/STAR 45_ODC_OD.png
image/STAR 48_OSN.jpg,GT/STAR 48_OSN_GT.tif,OD/STAR 48_OSN_OD.png
